Nr,x,y,H,Kodi,Përshkrimi,Burimi
A220086,7512362.375,4694374.643,620.7631,11,Monoment,PM
85462,7511168.581,4693833.135,624.59,2,Kunjë - shtyllë metalik,PM
85463,7511162.109,4693834.97,624.548,2,Kunjë - shtyllë metalik,PM
85481,7511220.14,4693736.581,620.286,2,Kunjë - shtyllë metalik,PM
85482,7511222.257,4693738.038,620.273,2,Kunjë - shtyllë metalik,PM
85488,7511173.688,4693814.791,623.747,2,Kunjë - shtyllë metalik,PM
85489,7511174.179,4693819.724,623.84,2,Kunjë - shtyllë metalik,PM
85490,7511173.901,4693825.322,624.205,2,Kunjë - shtyllë metalik,PM
85491,7511233.408,4693774.915,620.754,2,Kunjë - shtyllë metalik,PM
85492,7511211.309,4693797.147,622.572,2,Kunjë - shtyllë metalik,PM
85493,7511202.687,4693806.158,623.332,2,Kunjë - shtyllë metalik,PM
85496,7511186.754,4693788.926,622.58925,2,Kunjë - shtyllë metalik,PM
85497,7511170.858,4693810.895,623.5874,2,Kunjë - shtyllë metalik,PM
85498,7511144.119,4693838.872,624.1511,2,Kunjë - shtyllë metalik,PM
85499,7511123.853,4693834.863,623.06985,2,Kunjë - shtyllë metalik,PM
85500,7511117.992,4693832.963,622.748,2,Kunjë - shtyllë metalik,PM
85515,7511156.545,4693791.194,621.971,2,Kunjë - shtyllë metalik,PM
85516,7511145.919,4693803.158,622.183,2,Kunjë - shtyllë metalik,PM
85517,7511141.778,4693807.571,622.366,2,Kunjë - shtyllë metalik,PM
88353,7511161.029,4693783.957,622.439,2,Kunjë - shtyllë metalik,PM
88354,7511172.047,4693766.179,621.98945,2,Kunjë - shtyllë metalik,PM
88355,7511176.924,4693756.395,621.633,2,Kunjë - shtyllë metalik,PM
88356,7511161.818,4693784.656,621.668,2,Kunjë - shtyllë metalik,PM
88357,7511211.056,4693753.051,620.737,2,Kunjë - shtyllë metalik,PM
88358,7511218.788,4693735.998,620.302,2,Kunjë - shtyllë metalik,PM
88359,7511204.389,4693755.272,620.698,2,Kunjë - shtyllë metalik,PM
88360,7511181.03,4693748.158,620.969,2,Kunjë - shtyllë metalik,PM
